vvento,N,ang_virab,pressao,VPP
"3,5","13,73","4,38304117","0,03402153","0,4750"
"3,5","13,73","4,39542264","0,03059592","0,4750"
"3,5","13,73","4,40780411","0,02745867","0,4750"
"3,5","13,73","4,42018559","0,02458285","0,4750"
"3,5","13,73","4,43256706","0,02195694","0,4750"
"3,5","13,73","4,44494853","0,01958093","0,4750"
"3,5","13,73","4,45733000","0,01741638","0,4750"
"3,5","13,73","4,46971147","0,01546713","0,4750"
"3,5","13,73","4,48209295","0,01371396","0,4750"
"3,5","13,73","4,49447442","0,01214917","0,4750"
"3,5","13,73","4,50685589","0,01073433","0,4750"
"3,5","13,73","4,51923736","0,00945021","0,4750"
"3,5","13,73","4,53161884","0,00828912","0,4750"
"3,5","13,73","4,54400031","0,00723952","0,4750"
"3,5","13,73","4,55638178","0,00629373","0,4750"
"3,5","13,73","4,56876325","0,00545944","0,4750"
"3,5","13,73","4,58114472","0,00477124","0,4750"
"3,5","13,73","4,59352620","0,00419839","0,4750"
"3,5","13,73","4,60590767","0,00366398","0,4750"
"3,5","13,73","4,61828914","0,00324106","0,4750"
"3,5","13,73","4,63067061","0,00287966","0,4750"
"3,5","13,73","4,64305209","0,00257978","0,4750"
"3,5","13,73","4,65543356","0,00235294","0,4750"
"3,5","13,73","4,66781503","0,00216455","0,4750"
"3,5","13,73","4,68019650","0,00201461","0,4750"
"3,5","13,73","4,69257797","0,00189927","0,4750"
"3,5","13,73","4,70495945","0,00182238","0,4750"
"3,5","13,73","4,71734092","0,00178393","0,4750"
"3,5","13,73","4,72972239","0,00174548","0,4750"
"3,5","13,73","4,74210386","0,00170704","0,4750"
"3,5","13,73","4,75448534","0,00166859","0,4750"
"3,5","13,73","4,76686681","0,00163014","0,4750"
"3,5","13,73","4,77924828","0,00159170","0,4750"
"3,5","13,73","4,79162975","0,00158016","0,4750"
"3,5","13,73","4,80401122","0,00156863","0,4750"
"3,5","13,73","4,81639270","0,00155709","0,4750"
"3,5","13,73","4,82877417","0,00154556","0,4750"
"3,5","13,73","4,84115564","0,00156094","0,4750"
"3,5","13,73","4,85353711","0,00157632","0,4750"
"3,5","13,73","4,86591859","0,00159170","0,4750"
"3,5","13,73","4,87830006","0,00160707","0,4750"
"3,5","13,73","4,89068153","0,00162245","0,4750"
"3,5","13,73","4,90306300","0,00163783","0,4750"
"3,5","13,73","4,91544447","0,00165321","0,4750"
"3,5","13,73","4,92782595","0,00166859","0,4750"
"3,5","13,73","4,94020742","0,00168397","0,4750"
"3,5","13,73","4,95258889","0,00169935","0,4750"
"3,5","13,73","4,96497036","0,00171473","0,4750"
"3,5","13,73","4,97735184","0,00173010","0,4750"
"3,5","13,73","4,98973331","0,00174548","0,4750"
"3,5","13,73","5,00211478","0,00176086","0,4750"
"3,5","13,73","5,01449625","0,00177624","0,4750"
"3,5","13,73","5,02687772","0,00179162","0,4750"
"3,5","13,73","5,03925920","0,00180700","0,4750"
"3,5","13,73","5,05164067","0,00182238","0,4750"
"3,5","13,73","5,06402214","0,00183775","0,4750"
"3,5","13,73","5,07640361","0,00185313","0,4750"
"3,5","13,73","5,08878509","0,00186851","0,4750"
"3,5","13,73","5,10116656","0,00188389","0,4750"
"3,5","13,73","5,11354803","0,00189927","0,4750"
"3,5","13,73","5,12592950","0,00191465","0,4750"
"3,5","13,73","5,13831098","0,00193003","0,4750"
"3,5","13,73","5,15069245","0,00194541","0,4750"
"3,5","13,73","5,16307392","0,00196078","0,4750"
"3,5","13,73","5,17545539","0,00197616","0,4750"
"3,5","13,73","5,18783686","0,00199154","0,4750"
"3,5","13,73","5,20021834","0,00200692","0,4750"
"3,5","13,73","5,21259981","0,00194541","0,4750"
"3,5","13,73","5,22498128","0,00188389","0,4750"
"3,5","13,73","5,23736275","0,00184544","0,4750"
"3,5","13,73","5,24974423","0,00180700","0,4750"
"3,5","13,73","5,26212570","0,00176855","0,4750"
"3,5","13,73","5,27450717","0,00173010","0,4750"
"3,5","13,73","5,28688864","0,00169166","0,4750"
"3,5","13,73","5,29927011","0,00165321","0,4750"
"3,5","13,73","5,31165159","0,00161476","0,4750"
"3,5","13,73","5,32403306","0,00157632","0,4750"
"3,5","13,73","5,33641453","0,00153787","0,4750"
"3,5","13,73","5,34879600","0,00149942","0,4750"
"3,5","13,73","5,36117748","0,00146098","0,4750"
"3,5","13,73","5,37355895","0,00142253","0,4750"
"3,5","13,73","5,38594042","0,00138408","0,4750"
"3,5","13,73","5,39832189","0,00134564","0,4750"
"3,5","13,73","5,41070336","0,00130719","0,4750"
"3,5","13,73","5,42308484","0,00126874","0,4750"
"3,5","13,73","5,43546631","0,00123030","0,4750"
"3,5","13,73","5,44784778","0,00119185","0,4750"
"3,5","13,73","5,46022925","0,00115340","0,4750"
"3,5","13,73","5,47261073","0,00111496","0,4750"
"3,5","13,73","5,48499220","0,00107651","0,4750"
"3,5","13,73","5,49737367","0,00103806","0,4750"
"3,5","13,73","5,50975514","0,00099962","0,4750"
"3,5","13,73","5,52213661","0,00096117","0,4750"
"3,5","13,73","5,53451809","0,00092272","0,4750"
"3,5","13,73","5,54689956","0,00088428","0,4750"
"3,5","13,73","5,55928103","0,00084583","0,4750"
"3,5","13,73","5,57166250","0,00080738","0,4750"
"3,5","13,73","5,58404398","0,00076894","0,4750"
"3,5","13,73","5,59642545","0,00073049","0,4750"
"3,5","13,73","5,60880692","0,00069204","0,4750"
"3,5","13,73","5,62118839","0,00065359","0,4750"
"3,5","13,73","5,63356986","0,00061515","0,4750"
"3,5","13,73","5,64595134","0,00057670","0,4750"
"3,5","13,73","5,65833281","0,00053825","0,4750"
"3,5","13,73","5,67071428","0,00049981","0,4750"
"3,5","13,73","5,68309575","0,00046136","0,4750"
"3,5","13,73","5,69547723","0,00042291","0,4750"
"3,5","13,73","5,70785870","0,00038447","0,4750"
"3,5","13,73","5,72024017","0,00034602","0,4750"
"3,5","13,73","5,73262164","0,00030757","0,4750"
"3,5","13,73","5,74500311","0,00026913","0,4750"
"3,5","13,73","5,75738459","0,00023068","0,4750"
"3,5","13,73","5,76976606","0,00019223","0,4750"
"3,5","13,73","5,78214753","0,00015379","0,4750"
"3,5","13,73","5,79452900","0,00011534","0,4750"
"3,5","13,73","5,80691048","0,00007689","0,4750"
"3,5","13,73","5,81929195","0,00003845","0,4750"
"3,5","13,73","5,83167342","0,00000000","0,4750"
"3,5","13,73","5,84405489","0,00000000","0,4750"
"3,5","13,73","5,85643636","0,00000000","0,4750"
"3,5","13,73","5,86881784","0,00000000","0,4750"
"3,5","13,73","5,88119931","0,00000000","0,4750"
"3,5","13,73","5,89358078","0,00000000","0,4750"
"3,5","13,73","5,90596225","0,00000000","0,4750"
"3,5","13,73","5,91834373","0,00000000","0,4750"
"3,5","13,73","5,93072520","0,00000000","0,4750"
"3,5","13,73","5,94310667","0,00000000","0,4750"
"3,5","13,73","5,95548814","0,00000000","0,4750"
"3,5","13,73","5,96786961","0,00000000","0,4750"
"3,5","13,73","5,98025109","0,00000000","0,4750"
"3,5","13,73","5,99263256","0,00000000","0,4750"
"3,5","13,73","6,00501403","0,00000000","0,4750"
"3,5","13,73","6,01739550","0,00000000","0,4750"
"3,5","13,73","6,02977698","0,00000000","0,4750"
"3,5","13,73","6,04215845","0,00000000","0,4750"
"3,5","13,73","6,05453992","0,00000000","0,4750"
"3,5","13,73","6,06692139","0,00000000","0,4750"
"3,5","13,73","6,07930286","0,00000000","0,4750"
"3,5","13,73","6,09168434","0,00000000","0,4750"
"3,5","13,73","6,10406581","0,00000000","0,4750"
"3,5","13,73","6,11644728","0,00000000","0,4750"
"3,5","13,73","6,12882875","0,00000000","0,4750"
"3,5","13,73","6,14121023","0,00000000","0,4750"
"3,5","13,73","6,15359170","0,00000000","0,4750"
"3,5","13,73","6,16597317","0,00000000","0,4750"
"3,5","13,73","6,17835464","0,00000000","0,4750"
"3,5","13,73","6,19073611","0,00000000","0,4750"
"3,5","13,73","6,20311759","0,00000000","0,4750"
"3,5","13,73","6,21549906","0,00000000","0,4750"
"3,5","13,73","6,22788053","0,00000000","0,4750"
