vvento,N,ang_virab,pressao,VPP
"3,5","13,73","4,95423629","0,00318724","0,4750"
"3,5","13,73","4,96661776","0,00316032","0,4750"
"3,5","13,73","4,97899923","0,00313341","0,4750"
"3,5","13,73","4,99138070","0,00310650","0,4750"
"3,5","13,73","5,00376218","0,00307958","0,4750"
"3,5","13,73","5,01614365","0,00305267","0,4750"
"3,5","13,73","5,02852512","0,00302576","0,4750"
"3,5","13,73","5,04090659","0,00299885","0,4750"
"3,5","13,73","5,05328807","0,00297193","0,4750"
"3,5","13,73","5,06566954","0,00294502","0,4750"
"3,5","13,73","5,07805101","0,00291811","0,4750"
"3,5","13,73","5,09043248","0,00289120","0,4750"
"3,5","13,73","5,10281395","0,00286428","0,4750"
"3,5","13,73","5,11519543","0,00283737","0,4750"
"3,5","13,73","5,12757690","0,00281046","0,4750"
"3,5","13,73","5,13995837","0,00278354","0,4750"
"3,5","13,73","5,15233984","0,00275663","0,4750"
"3,5","13,73","5,16472132","0,00272972","0,4750"
"3,5","13,73","5,17710279","0,00270281","0,4750"
"3,5","13,73","5,18948426","0,00267589","0,4750"
"3,5","13,73","5,20186573","0,00264898","0,4750"
"3,5","13,73","5,21424720","0,00262207","0,4750"
"3,5","13,73","5,22662868","0,00259516","0,4750"
"3,5","13,73","5,23901015","0,00256824","0,4750"
"3,5","13,73","5,25139162","0,00254133","0,4750"
"3,5","13,73","5,26377309","0,00251442","0,4750"
"3,5","13,73","5,27615457","0,00248750","0,4750"
"3,5","13,73","5,28853604","0,00246059","0,4750"
"3,5","13,73","5,30091751","0,00243368","0,4750"
"3,5","13,73","5,31329898","0,00240677","0,4750"
"3,5","13,73","5,32568045","0,00237985","0,4750"
"3,5","13,73","5,33806193","0,00235294","0,4750"
"3,5","13,73","5,35044340","0,00232603","0,4750"
"3,5","13,73","5,36282487","0,00229912","0,4750"
"3,5","13,73","5,37520634","0,00227220","0,4750"
"3,5","13,73","5,38758782","0,00224529","0,4750"
"3,5","13,73","5,39996929","0,00221838","0,4750"
"3,5","13,73","5,41235076","0,00219146","0,4750"
"3,5","13,73","5,42473223","0,00219146","0,4750"
"3,5","13,73","5,43711370","0,00219146","0,4750"
"3,5","13,73","5,44949518","0,00219146","0,4750"
"3,5","13,73","5,46187665","0,00219146","0,4750"
"3,5","13,73","5,47425812","0,00219146","0,4750"
"3,5","13,73","5,48663959","0,00219146","0,4750"
"3,5","13,73","5,49902107","0,00219146","0,4750"
"3,5","13,73","5,51140254","0,00219146","0,4750"
"3,5","13,73","5,52378401","0,00211457","0,4750"
"3,5","13,73","5,53616548","0,00203768","0,4750"
"3,5","13,73","5,54854695","0,00196078","0,4750"
"3,5","13,73","5,56092843","0,00188389","0,4750"
"3,5","13,73","5,57330990","0,00180700","0,4750"
"3,5","13,73","5,58569137","0,00173010","0,4750"
"3,5","13,73","5,59807284","0,00169166","0,4750"
"3,5","13,73","5,61045432","0,00165321","0,4750"
"3,5","13,73","5,62283579","0,00161476","0,4750"
"3,5","13,73","5,63521726","0,00157632","0,4750"
"3,5","13,73","5,64759873","0,00153787","0,4750"
"3,5","13,73","5,65998020","0,00149942","0,4750"
"3,5","13,73","5,67236168","0,00146098","0,4750"
"3,5","13,73","5,68474315","0,00142253","0,4750"
"3,5","13,73","5,69712462","0,00138408","0,4750"
"3,5","13,73","5,70950609","0,00134564","0,4750"
"3,5","13,73","5,72188757","0,00130719","0,4750"
"3,5","13,73","5,73426904","0,00126874","0,4750"
"3,5","13,73","5,74665051","0,00123030","0,4750"
"3,5","13,73","5,75903198","0,00119185","0,4750"
"3,5","13,73","5,77141345","0,00115340","0,4750"
"3,5","13,73","5,78379493","0,00111496","0,4750"
"3,5","13,73","5,79617640","0,00107651","0,4750"
"3,5","13,73","5,80855787","0,00103806","0,4750"
"3,5","13,73","5,82093934","0,00099962","0,4750"
"3,5","13,73","5,83332082","0,00096117","0,4750"
"3,5","13,73","5,84570229","0,00092272","0,4750"
"3,5","13,73","5,85808376","0,00088428","0,4750"
"3,5","13,73","5,87046523","0,00084583","0,4750"
"3,5","13,73","5,88284670","0,00080738","0,4750"
"3,5","13,73","5,89522818","0,00076894","0,4750"
"3,5","13,73","5,90760965","0,00073049","0,4750"
"3,5","13,73","5,91999112","0,00069204","0,4750"
"3,5","13,73","5,93237259","0,00065359","0,4750"
"3,5","13,73","5,94475407","0,00061515","0,4750"
"3,5","13,73","5,95713554","0,00057670","0,4750"
"3,5","13,73","5,96951701","0,00053825","0,4750"
"3,5","13,73","5,98189848","0,00049981","0,4750"
"3,5","13,73","5,99427995","0,00046136","0,4750"
"3,5","13,73","6,00666143","0,00042291","0,4750"
"3,5","13,73","6,01904290","0,00039985","0,4750"
"3,5","13,73","6,03142437","0,00037678","0,4750"
"3,5","13,73","6,04380584","0,00035371","0,4750"
"3,5","13,73","6,05618732","0,00033064","0,4750"
"3,5","13,73","6,06856879","0,00030757","0,4750"
"3,5","13,73","6,08095026","0,00028451","0,4750"
"3,5","13,73","6,09333173","0,00026144","0,4750"
"3,5","13,73","6,10571320","0,00023837","0,4750"
"3,5","13,73","6,11809468","0,00021530","0,4750"
"3,5","13,73","6,13047615","0,00019223","0,4750"
"3,5","13,73","6,14285762","0,00024606","0,4750"
"3,5","13,73","6,15523909","0,00033833","0,4750"
"3,5","13,73","6,16762057","0,00043060","0,4750"
"3,5","13,73","6,18000204","0,00052288","0,4750"
"3,5","13,73","6,19238351","0,00061515","0,4750"
"3,5","13,73","6,20476498","0,00070742","0,4750"
"3,5","13,73","6,21714645","0,00079969","0,4750"
"3,5","13,73","6,22952793","0,00089196","0,4750"
"3,5","13,73","6,24190940","0,00098424","0,4750"
"3,5","13,73","6,25429087","0,00107651","0,4750"
"3,5","13,73","6,26667234","0,00116878","0,4750"
"3,5","13,73","6,27905382","0,00126105","0,4750"
"3,5","17,37","1,05770828","0,00036735","0,6009"
"3,5","17,37","1,07322395","0,00044082","0,6009"
"3,5","17,37","1,08873962","0,00051429","0,6009"
"3,5","17,37","1,10425529","0,00058776","0,6009"
"3,5","17,37","1,11977095","0,00066122","0,6009"
"3,5","17,37","1,13528662","0,00073469","0,6009"
"3,5","17,37","1,15080229","0,00080816","0,6009"
"3,5","17,37","1,16631796","0,00088163","0,6009"
"3,5","17,37","1,18183363","0,00095510","0,6009"
"3,5","17,37","1,19734930","0,00102857","0,6009"
"3,5","17,37","1,21286497","0,00110204","0,6009"
"3,5","17,37","1,22838064","0,00117551","0,6009"
"3,5","17,37","1,24389631","0,00124898","0,6009"
"3,5","17,37","1,25941198","0,00132245","0,6009"
"3,5","17,37","1,27492765","0,00139592","0,6009"
"3,5","17,37","1,29044332","0,00150204","0,6009"
"3,5","17,37","1,30595898","0,00161633","0,6009"
"3,5","17,37","1,32147465","0,00177143","0,6009"
"3,5","17,37","1,33699032","0,00197551","0,6009"
"3,5","17,37","1,35250599","0,00226122","0,6009"
"3,5","17,37","1,36802166","0,00262041","0,6009"
"3,5","17,37","1,38353733","0,00301224","0,6009"
"3,5","17,37","1,39905300","0,00346939","0,6009"
"3,5","17,37","1,41456867","0,00399184","0,6009"
"3,5","17,37","1,43008434","0,00464490","0,6009"
"3,5","17,37","1,44560001","0,00529796","0,6009"
"3,5","17,37","1,46111568","0,00596735","0,6009"
"3,5","17,37","1,47663135","0,00664490","0,6009"
"3,5","17,37","1,49214701","0,00742857","0,6009"
"3,5","17,37","1,50766268","0,00831837","0,6009"
